"","SPCD","State","PLOT","minSOC","geometry","Common","Species"
"1","68","NE",1180,3343,c(-100.308809, 42.901244),"eastern redcedar","Juniperus virginiana"
"2","68","NE",1245,3343,c(-100.258495, 42.891493),"eastern redcedar","Juniperus virginiana"
"3","68","NE",1252,3343,c(-100.489191, 42.877345),"eastern redcedar","Juniperus virginiana"
"4","122","NE",712,2201.5,c(-102.770789, 42.971161),"ponderosa pine","Pinus ponderosa"
"5","313","NE",233,5014,c(-100.164426915493, 40.9105643661972),"boxelder","Acer negundo"
"6","462","NE",257,4712.75,c(-99.8978361153846, 42.7390072937063),"hackberry","Celtis occidentalis"
"7","544","NE",328,3687,c(-97.573099, 42.77693),"green ash","Fraxinus pennsylvanica"
"8","602","NE",254,6328,c(-98.9444739182692, 42.0656148365385),"black walnut","Juglans nigra"
"9","701","NE",1252,3343,c(-100.489191, 42.877345),"ironwood","Ostrya virginiana"
"10","742","NE",226,3953,c(-100.837653265957, 41.0528422234043),"east. cottonwood","Populus deltoides"
"11","763","NE",617,6327,c(-102.006189674419, 41.7075945116279),"chokecherry","Prunus virginiana"
"12","766","NE",226,3953,c(-100.837653265957, 41.0528422234043),"American plum","Prunus americana"
"13","823","NE",1180,3343,c(-100.308809, 42.901244),"bur oak","Quercus macrocarpa"
"14","921","NE",226,3953,c(-100.837653265957, 41.0528422234043),"peachleaf willow","Salix amygdaloides"
"15","951","NE",254,6328,c(-98.9444739182692, 42.0656148365385),"basswood","Tilia americana"
"16","972","NE",226,3953,c(-100.837653265957, 41.0528422234043),"American elm","Ulmus americana"
"17","972","NE",668,3953,c(-100.794306, 41.046598),"American elm","Ulmus americana"
"18","975","NE",214,4689,c(-99.3407627344828, 42.7626499241379),"slippery elm","Ulmus rubra"
"19","68","WI",287,3134,c(-91.6227643571429, 45.0515868839286),"eastern redcedar","Juniperus virginiana"
"20","313","WI",24,2254.5,c(-89.2714367857143, 44.2817243367347),"boxelder","Acer negundo"
"21","375","WI",24,2254.5,c(-89.2714367857143, 44.2817243367347),"paper birch","Betula papyrifera"
"22","462","WI",24,2254.5,c(-89.2714367857143, 44.2817243367347),"hackberry","Celtis occidentalis"
"23","544","WI",24,2254.5,c(-89.2714367857143, 44.2817243367347),"green ash","Fraxinus pennsylvanica"
"24","602","WI",24,2254.5,c(-89.2714367857143, 44.2817243367347),"black walnut","Juglans nigra"
"25","701","WI",351,2664.5,c(-89.8693954655172, 43.5624969482759),"ironwood","Ostrya virginiana"
"26","742","WI",24,2254.5,c(-89.2714367857143, 44.2817243367347),"east. cottonwood","Populus deltoides"
"27","763","WI",24,2254.5,c(-89.2714367857143, 44.2817243367347),"chokecherry","Prunus virginiana"
"28","766","WI",287,3134,c(-91.6227643571429, 45.0515868839286),"American plum","Prunus americana"
"29","823","WI",351,2664.5,c(-89.8693954655172, 43.5624969482759),"bur oak","Quercus macrocarpa"
"30","920","WI",2,6459,c(-89.4135739069767, 44.4349275813954),"willow spp.","Salix spp."
"31","921","WI",562,4186.5,c(-91.1869067045454, 44.3991686818182),"peachleaf willow","Salix amygdaloides"
"32","951","WI",351,2664.5,c(-89.8693954655172, 43.5624969482759),"basswood","Tilia americana"
"33","972","WI",24,2254.5,c(-89.2714367857143, 44.2817243367347),"American elm","Ulmus americana"
"34","975","WI",24,2254.5,c(-89.2714367857143, 44.2817243367347),"slippery elm","Ulmus rubra"
"35","68","MO",9148,845,c(-92.818046, 36.600269),"eastern redcedar","Juniperus virginiana"
"36","313","MO",120,2347.5,c(-93.3388727790262, 37.9462053258427),"boxelder","Acer negundo"
"37","462","MO",196,2175.5,c(-93.34404588, 38.24311404),"hackberry","Celtis occidentalis"
"38","544","MO",120,2347.5,c(-93.3388727790262, 37.9462053258427),"green ash","Fraxinus pennsylvanica"
"39","602","MO",196,2175.5,c(-93.34404588, 38.24311404),"black walnut","Juglans nigra"
"40","701","MO",225,2804.5,c(-91.6126679936709, 37.9404843670886),"ironwood","Ostrya virginiana"
"41","742","MO",225,2804.5,c(-91.6126679936709, 37.9404843670886),"east. cottonwood","Populus deltoides"
"42","763","MO",94,6036.5,c(-92.4686552848297, 38.1131921393189),"chokecherry","Prunus virginiana"
"43","766","MO",196,2175.5,c(-93.34404588, 38.24311404),"American plum","Prunus americana"
"44","823","MO",120,2347.5,c(-93.3388727790262, 37.9462053258427),"bur oak","Quercus macrocarpa"
"45","920","MO",72,5965.25,c(-92.3393633174157, 38.5277684044944),"willow spp.","Salix spp."
"46","921","MO",28,4531,c(-92.0225082714682, 38.882845033241),"peachleaf willow","Salix amygdaloides"
"47","951","MO",120,2347.5,c(-93.3388727790262, 37.9462053258427),"basswood","Tilia americana"
"48","972","MO",196,2175.5,c(-93.34404588, 38.24311404),"American elm","Ulmus americana"
"49","975","MO",120,2347.5,c(-93.3388727790262, 37.9462053258427),"slippery elm","Ulmus rubra"
"50","68","SD",1291,2198,c(-102.209982, 44.417105),"eastern redcedar","Juniperus virginiana"
"51","122","SD",408,1597,c(-103.567018, 43.367179),"ponderosa pine","Pinus ponderosa"
"52","313","SD",373,5169,c(-103.498829, 43.444121),"boxelder","Acer negundo"
"53","375","SD",232,4145.5,c(-103.863579, 44.336077),"paper birch","Betula papyrifera"
"54","602","SD",673,11420.25,c(-99.810035, 43.166097),"black walnut","Juglans nigra"
"55","701","SD",1270,5124.75,c(-103.388986, 43.965533),"ironwood","Ostrya virginiana"
"56","742","SD",820,4277.75,c(-101.889729538462, 43.9842383846154),"east. cottonwood","Populus deltoides"
"57","763","SD",1140,4781.25,c(-102.457826, 43.345063),"chokecherry","Prunus virginiana"
"58","766","SD",650,4460.5,c(-100.600169, 44.203809),"American plum","Prunus americana"
"59","823","SD",770,3734.25,c(-104.036358, 44.713267),"bur oak","Quercus macrocarpa"
"60","920","SD",603,8256.75,c(-100.605451, 43.759696),"willow spp.","Salix spp."
"61","921","SD",638,9332,c(-99.41607, 43.795603),"peachleaf willow","Salix amygdaloides"
"62","951","SD",453,8681,c(-101.646814989362, 43.4954003510638),"basswood","Tilia americana"
"63","975","SD",464,9141.5,c(-99.16078, 43.349402),"slippery elm","Ulmus rubra"
"64","68","OH",6182,3104,c(-83.502021, 38.732142),"eastern redcedar","Juniperus virginiana"
"65","375","OH",5510,7931.5,c(-81.43074, 40.935424),"paper birch","Betula papyrifera"
"66","701","OH",5073,2781,c(-80.915132, 40.459651),"ironwood","Ostrya virginiana"
"67","766","OH",84,5974.5,c(-81.4241642727273, 40.764326469697),"American plum","Prunus americana"
"68","920","OH",6050,6577,c(-82.212693, 41.4123),"willow spp.","Salix spp."
"69","921","OH",38,8281,c(-82.8805285546219, 40.2188748067227),"peachleaf willow","Salix amygdaloides"
"70","68","ND",2326,5694,c(-103.408721, 47.555566),"eastern redcedar","Juniperus virginiana"
"71","122","ND",2249,12137,c(-103.504916647059, 46.5807658088235),"ponderosa pine","Pinus ponderosa"
"72","313","ND",2324,9284,c(-102.559713709924, 47.0293047099237),"boxelder","Acer negundo"
"73","375","ND",419,12420.5,c(-97.964978, 48.714519),"paper birch","Betula papyrifera"
"74","544","ND",2232,4867,c(-102.298833, 47.559362),"green ash","Fraxinus pennsylvanica"
"75","701","ND",419,12420.5,c(-97.964978, 48.714519),"ironwood","Ostrya virginiana"
"76","763","ND",2232,4867,c(-102.298833, 47.559362),"chokecherry","Prunus virginiana"
"77","766","ND",2207,5699.5,c(-102.421050261682, 47.6650040373832),"American plum","Prunus americana"
"78","823","ND",2213,5349.5,c(-102.683068, 47.874989),"bur oak","Quercus macrocarpa"
"79","920","ND",2353,12631,c(-103.655919, 48.107707),"willow spp.","Salix spp."
"80","921","ND",2398,12693,c(-103.797483, 48.04357),"peachleaf willow","Salix amygdaloides"
"81","951","ND",520,9498,c(-97.184395, 46.531986),"basswood","Tilia americana"
"82","972","ND",2232,4867,c(-102.298833, 47.559362),"American elm","Ulmus americana"
"83","975","ND",2232,4867,c(-102.298833, 47.559362),"slippery elm","Ulmus rubra"
"84","766","MI",3,9387.5,c(-85.5982131594203, 44.3742591376812),"American plum","Prunus americana"
"85","68","KS",345,3442,c(-97.7843937058824, 38.1015418823529),"eastern redcedar","Juniperus virginiana"
"86","122","KS",250,5231.25,c(-98.3271629722222, 37.9355329861111),"ponderosa pine","Pinus ponderosa"
"87","313","KS",260,4270.33349609375,c(-97.8922670909091, 37.7792347386364),"boxelder","Acer negundo"
"88","462","KS",260,4270.33349609375,c(-97.8922670909091, 37.7792347386364),"hackberry","Celtis occidentalis"
"89","544","KS",260,4270.33349609375,c(-97.8922670909091, 37.7792347386364),"green ash","Fraxinus pennsylvanica"
"90","602","KS",260,4270.33349609375,c(-97.8922670909091, 37.7792347386364),"black walnut","Juglans nigra"
"91","701","KS",251,9144.75,c(-95.472413, 39.1045739148936),"ironwood","Ostrya virginiana"
"92","742","KS",269,4175.25,c(-98.16364, 37.445351),"east. cottonwood","Populus deltoides"
"93","763","KS",216,13224.25,c(-94.9307269268293, 39.0273326341463),"chokecherry","Prunus virginiana"
"94","766","KS",407,6074.5,c(-97.761342, 37.30362),"American plum","Prunus americana"
"95","823","KS",215,6416.5,c(-98.6124326606061, 39.0967575757576),"bur oak","Quercus macrocarpa"
"96","920","KS",305,7286.5,c(-96.7380723333333, 37.49977),"willow spp.","Salix spp."
"97","921","KS",260,4270.33349609375,c(-97.8922670909091, 37.7792347386364),"peachleaf willow","Salix amygdaloides"
"98","951","KS",274,7553,c(-97.5862645209581, 38.9197421736527),"basswood","Tilia americana"
"99","972","KS",345,3442,c(-97.7843937058824, 38.1015418823529),"American elm","Ulmus americana"
"100","975","KS",260,4270.33349609375,c(-97.8922670909091, 37.7792347386364),"slippery elm","Ulmus rubra"
"101","68","IN",221,81.9824981689453,c(-86.3852737666667, 38.9903329166667),"eastern redcedar","Juniperus virginiana"
"102","313","IN",221,81.9824981689453,c(-86.3852737666667, 38.9903329166667),"boxelder","Acer negundo"
"103","375","IN",221,81.9824981689453,c(-86.3852737666667, 38.9903329166667),"paper birch","Betula papyrifera"
"104","462","IN",221,81.9824981689453,c(-86.3852737666667, 38.9903329166667),"hackberry","Celtis occidentalis"
"105","544","IN",221,81.9824981689453,c(-86.3852737666667, 38.9903329166667),"green ash","Fraxinus pennsylvanica"
"106","602","IN",221,81.9824981689453,c(-86.3852737666667, 38.9903329166667),"black walnut","Juglans nigra"
"107","701","IN",221,81.9824981689453,c(-86.3852737666667, 38.9903329166667),"ironwood","Ostrya virginiana"
"108","742","IN",221,81.9824981689453,c(-86.3852737666667, 38.9903329166667),"east. cottonwood","Populus deltoides"
"109","763","IN",98,167.722503662109,c(-86.526281814433, 39.7333877216495),"chokecherry","Prunus virginiana"
"110","766","IN",37,164.587509155273,c(-85.5529610125523, 39.4896245523013),"American plum","Prunus americana"
"111","823","IN",100,123.379997253418,c(-86.0573515940959, 39.6159789188192),"bur oak","Quercus macrocarpa"
"112","920","IN",223,138.112503051758,c(-86.1695880833333, 39.1121065138889),"willow spp.","Salix spp."
"113","951","IN",29,90.9000015258789,c(-86.5475122884615, 39.3520392371795),"basswood","Tilia americana"
"114","972","IN",221,81.9824981689453,c(-86.3852737666667, 38.9903329166667),"American elm","Ulmus americana"
"115","975","IN",221,81.9824981689453,c(-86.3852737666667, 38.9903329166667),"slippery elm","Ulmus rubra"
"116","68","IL",24,2216.75,c(-89.6126217172414, 40.7608166758621),"eastern redcedar","Juniperus virginiana"
"117","313","IL",24,2216.75,c(-89.6126217172414, 40.7608166758621),"boxelder","Acer negundo"
"118","375","IL",51,16768,c(-89.7626121512195, 39.8494546731707),"paper birch","Betula papyrifera"
"119","462","IL",24,2216.75,c(-89.6126217172414, 40.7608166758621),"hackberry","Celtis occidentalis"
"120","544","IL",24,2216.75,c(-89.6126217172414, 40.7608166758621),"green ash","Fraxinus pennsylvanica"
"121","602","IL",24,2216.75,c(-89.6126217172414, 40.7608166758621),"black walnut","Juglans nigra"
"122","701","IL",9003,2947.5,c(-88.9603228125, 37.5597305625),"ironwood","Ostrya virginiana"
"123","742","IL",239,4541,c(-88.75329, 40.404124),"east. cottonwood","Populus deltoides"
"124","763","IL",24,2216.75,c(-89.6126217172414, 40.7608166758621),"chokecherry","Prunus virginiana"
"125","766","IL",103,7233,c(-89.3499328571429, 38.8887287142857),"American plum","Prunus americana"
"126","823","IL",9018,4318,c(-88.493271, 37.49538),"bur oak","Quercus macrocarpa"
"127","921","IL",203,16261.25,c(-89.5053599840256, 39.6076065207668),"peachleaf willow","Salix amygdaloides"
"128","951","IL",9002,3023,c(-88.5050374848485, 37.439221030303),"basswood","Tilia americana"
"129","972","IL",24,2216.75,c(-89.6126217172414, 40.7608166758621),"American elm","Ulmus americana"
"130","975","IL",24,2216.75,c(-89.6126217172414, 40.7608166758621),"slippery elm","Ulmus rubra"
"131","766","MN",208,7255.25,c(-93.975275, 45.573715),"American plum","Prunus americana"
